id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,greek_letters,spect_desig,color,linecolor
25,25.0,224750.0,9077.0,,,,0.0053,-44.290561,81.367,58.36,-108.64,3.0,6.28,1.728,G3IV,0.763,58.243094,0.080879,-56.818381,-2.776e-05,2.298e-05,-3.282e-05,0.0013876607010597,-0.7730161236388425,2.829372639e-07,-5.26701582e-07,,,Phe,1,25,,17.733726245425586,,,,,G,#FFD423,#FFD423
34,34.0,224758.0,9078.0,,,,0.006638,26.918108,74.6269,42.2,-53.47,0.0,6.43,2.066,F7.5IV-V,0.514,66.54131,0.115654,33.784832,8.73e-06,1.528e-05,-1.725e-05,0.0017378621745154,0.4698096167386025,2.045913731e-07,-2.59229874e-07,,,Peg,1,34,,12.989726288978543,,,,,F,#d4bf94,#d4bf94
43,43.0,224784.0,9079.0,,,,0.008593,59.559679,136.2398,-80.6,-24.07,-33.0,6.18,0.508,G9III-IV,1.032,69.024292,0.155048,117.45989,-3.27e-06,-5.324e-05,-3.715e-05,0.0022496078515178,1.0395125049217948,-3.907598265e-07,-1.16694652e-07,,,Cas,1,43,,54.55065881703731,,,,,G,#FFD423,#FFD423
50,50.0,224782.0,,,,,0.009533,-53.097713,59.4177,52.98,-20.52,0.0,6.49,2.62,G1IV,0.616,35.677374,0.089097,-47.513999,-4.76e-06,1.525e-05,-3.55e-06,0.0024958074750196,-0.9267299094829612,2.568542879e-07,-9.9483767e-08,,,Phe,1,50,,7.798301105232586,,,,,G,#FFD423,#FFD423
63,63.0,224801.0,9080.0,,,,0.012119,45.253334,187.9699,17.38,0.22,-3.0,6.36,-0.01,B9p SiEu,-0.047,132.325125,0.419892,133.501154,-2.35e-06,1.583e-05,-2.04e-06,0.0031728632804047,0.7898196673326625,8.42606176e-08,1.06659e-09,,,And,1,63,,87.90225168308842,CG,6.382,6.322,,B,#93C2F1,#93C2F1
88,88.0,224834.0,9081.0,,Tau Phe,,0.017941,-48.809876,181.8182,-17.92,-6.75,8.0,5.71,-0.588,G8III,0.911,119.736878,0.562356,-136.823418,9.9e-07,-1.579e-05,-1.008e-05,0.0046969598121488,-0.8518930353430763,-8.68786115e-08,-3.2724923e-08,Tau,,Phe,1,88,,149.69248567600363,,,,τ,G,#FFD423,#FFD423
106,106.0,224870.0,9083.0,,,,0.022013,49.981558,199.6008,13.29,-11.19,-20.0,6.22,-0.281,G7II-III,0.97,128.347884,0.73972,152.861641,-4.93e-06,1.283e-05,-2.263e-05,0.0057630217777087,0.8723427473068125,6.44317381e-08,-5.425065e-08,,,Cas,1,106,,112.82361216489925,,,,,G,#FFD423,#FFD423
107,107.0,224865.0,9082.0,,,,0.022255,-50.337373,166.3894,7.34,10.59,2.0,5.53,-0.576,M2III,1.615,106.198875,0.618768,-128.089244,7.85e-06,5.97e-06,3.88e-06,0.0058262583715863,-0.87855289975953,3.55853241e-08,5.1341768e-08,,,Phe,1,107,,148.04713248976265,,,,,M,#FF2620,#FF2620
122,122.0,224889.0,9084.0,,The Oct,,0.026616,-77.065724,66.5779,-56.52,-176.95,24.0,4.78,0.663,K2III,1.254,14.902031,0.103716,-64.888859,-5.004e-05,-1.859e-05,-3.671e-05,0.0069680833539428,-1.3450506304308112,-2.740166922e-07,-8.57877807e-07,The,,Oct,1,122,,47.29334149186517,,,,θ,K,#F99220,#F99220
124,124.0,224893.0,9085.0,,,,0.026949,61.222801,943.3962,-2.8,-1.34,-23.0,5.58,-4.293,F0III,0.407,454.144163,3.204116,826.885007,-5.86e-06,-1.285e-05,-2.357e-05,0.0070552932206482,1.0685394491555988,-1.3574783e-08,-6.496503e-09,,,Cas,1,124,,4541.507126325551,,,,,F,#d4bf94,#d4bf94
128,128.0,224890.0,,,,,0.027597,73.611846,70.7714,75.54,-12.36,-8.0,6.5,2.251,Am...,0.182,19.96712,0.144423,67.896054,1.57e-06,2.593e-05,-9.05e-06,0.007224759497225,1.2847690896740125,3.662282542e-07,-5.992297e-08,,,Cep,1,128,,10.95468767333996,,,,,A,#f3e8d3,#f3e8d3
137,137.0,224906.0,9086.0,,,,0.028847,42.367144,374.5318,5.11,-1.77,-11.0,6.25,-1.617,B9IIIp Mn,-0.042,276.711822,2.089808,252.388978,-6.22e-06,9.23e-06,-9.96e-06,0.0075520687723169,0.7394461549144825,2.4773979e-08,-8.581202e-09,,,And,1,137,,386.18908944898993,,,,,B,#93C2F1,#93C2F1
145,145.0,224926.0,9087.0,,29    Psc,,0.030402,-3.027504,139.2758,18.9,-10.25,23.0,5.13,-0.589,B7III-IV,-0.128,139.077212,1.106982,-7.355907,2.302e-05,1.294e-05,-8.15e-06,0.0079593117606242,-0.0528399088172674,9.16297856e-08,-4.9693402e-08,,29.0,Psc,1,145,,149.830421062266,,,,,B,#93C2F1,#93C2F1
154,154.0,224935.0,9089.0,,30    Psc,,0.032672,-6.014072,132.4503,46.62,-41.32,-12.0,4.37,-1.24,M3III,1.631,131.716394,1.126662,-13.877167,-1.524e-05,2.98e-05,-2.51e-05,0.0085534786762064,-0.104965358843855,2.260201378e-07,-2.00325012e-07,,30.0,Psc,1,154,,272.89777828080406,YY,4.418,4.308,,M,#FF2620,#FF2620
171,171.0,224930.0,9088.0,Gl 914A,85    Peg,,0.036139,27.082256,12.1699,778.59,-918.72,-37.6,5.8,5.374,G3V,0.69,10.834733,0.102555,5.540428,-9.99e-06,4.584e-05,-6.577e-05,0.00946108171981,0.4726745357978474,3.7747108354e-06,-4.454080246e-06,,85.0,Peg,1,171,Gl 914,0.6171631684555837,,,,,G,#FFD423,#FFD423
